ID,crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,black,lstat,medv
50,0.21977,0.0,6.91,0,4.4799999999999995,56.02,62.0,6.0877,3,23.3,17.9,39.69,16.2,19.4
51,0.08872999999999999,21.0,5.64,0,4.39,59.629999999999995,45.7,6.8147,4,24.3,16.8,39.556,13.45,19.7
52,0.04337,21.0,5.64,0,4.39,61.150000000000006,63.0,6.8147,4,24.3,16.8,39.397000000000006,9.43,20.5
54,0.04981,21.0,5.64,0,4.39,59.97999999999999,21.4,6.8147,4,24.3,16.8,39.69,8.43,23.4
55,0.0136,75.0,4.0,0,4.1,58.879999999999995,47.6,7.3197,3,46.9,21.1,39.69,14.8,18.9
56,0.01311,90.0,1.22,0,4.029999999999999,72.49,21.9,8.6966,5,22.6,17.9,39.593,4.81,35.4
57,0.02055,85.0,0.74,0,4.1,63.82999999999999,35.7,9.1876,2,31.3,17.3,39.69,5.77,24.7
58,0.01432,100.0,1.32,0,4.11,68.16,40.5,8.3248,5,25.6,15.1,39.29,3.95,31.6
59,0.15445,25.0,5.13,0,4.529999999999999,61.449999999999996,29.2,7.8148,8,28.4,19.7,39.068,6.86,23.3
61,0.14932,25.0,5.13,0,4.529999999999999,57.410000000000004,66.2,7.2254,8,28.4,19.7,39.511,13.15,18.7
62,0.17171,25.0,5.13,0,4.529999999999999,59.660000000000004,93.4,6.8185,8,28.4,19.7,37.808,14.44,16.0
64,0.1265,25.0,5.13,0,4.529999999999999,67.62,43.4,7.9809,8,28.4,19.7,39.558,9.5,25.0
65,0.01951,17.5,1.38,0,4.1610000000000005,71.04,59.5,9.2229,3,21.6,18.6,39.324,8.05,33.0
66,0.03584,80.0,3.37,0,3.9799999999999995,62.9,17.8,6.6115,4,33.7,16.1,39.69,4.67,23.5
67,0.043789999999999996,80.0,3.37,0,3.9799999999999995,57.870000000000005,31.1,6.6115,4,33.7,16.1,39.69,10.24,19.4
68,0.05789,12.5,6.07,0,4.09,58.779999999999994,21.4,6.497999999999999,4,34.5,18.9,39.620999999999995,8.1,22.0
69,0.13554000000000002,12.5,6.07,0,4.09,55.94,36.8,6.497999999999999,4,34.5,18.9,39.69,13.09,17.4
71,0.08826,0.0,10.81,0,4.13,64.17,6.6,5.2873,4,30.5,19.2,38.373000000000005,6.72,24.2
73,0.09164,0.0,10.81,0,4.13,60.650000000000006,7.8,5.2873,4,30.5,19.2,39.091,5.52,22.8
74,0.19539,0.0,10.81,0,4.13,62.45,6.2,5.2873,4,30.5,19.2,37.717,7.54,23.4
75,0.07896,0.0,12.83,0,4.370000000000001,62.73,6.0,4.2515,5,39.8,18.7,39.492000000000004,6.78,24.1
76,0.09512000000000001,0.0,12.83,0,4.370000000000001,62.86000000000001,45.0,4.5026,5,39.8,18.7,38.323,8.94,21.4
77,0.10153,0.0,12.83,0,4.370000000000001,62.79,74.5,4.0522,5,39.8,18.7,37.366,11.97,20.0
78,0.08707000000000001,0.0,12.83,0,4.370000000000001,61.4,45.8,4.0905,5,39.8,18.7,38.696,10.27,20.8
81,0.04113,25.0,4.86,0,4.26,67.27000000000001,33.5,5.4007,4,28.1,19.0,39.69,5.29,28.0
82,0.04462,25.0,4.86,0,4.26,66.19,70.4,5.4007,4,28.1,19.0,39.563,7.22,23.9
84,0.03551,25.0,4.86,0,4.26,61.67000000000001,46.7,5.4007,4,28.1,19.0,39.064,7.51,22.9
85,0.050589999999999996,0.0,4.49,0,4.49,63.88999999999999,48.0,4.7794,3,24.7,18.5,39.69,9.62,23.9
86,0.05735,0.0,4.49,0,4.49,66.3,56.1,4.4377,3,24.7,18.5,39.230000000000004,6.53,26.6
87,0.051879999999999996,0.0,4.49,0,4.49,60.15,45.1,4.4272,3,24.7,18.5,39.599000000000004,12.86,22.5
88,0.07151,0.0,4.49,0,4.49,61.21000000000001,56.8,3.7476,3,24.7,18.5,39.515,8.44,22.2
89,0.0566,0.0,3.41,0,4.89,70.07000000000001,86.3,3.4217,2,27.0,17.8,39.69,5.5,23.6
90,0.053020000000000005,0.0,3.41,0,4.89,70.78999999999999,63.1,3.4145,2,27.0,17.8,39.606,5.7,28.7
91,0.04684,0.0,3.41,0,4.89,64.17,66.1,3.0923,2,27.0,17.8,39.218,8.81,22.6
94,0.02875,28.0,15.04,0,4.64,62.11,28.9,3.6659,4,27.0,18.2,39.632999999999996,6.21,25.0
95,0.04294,28.0,15.04,0,4.64,62.489999999999995,77.3,3.615,4,27.0,18.2,39.69,10.59,20.6
97,0.11504,0.0,2.89,0,4.45,61.629999999999995,69.6,3.4952,2,27.6,18.0,39.183,11.34,21.4
101,0.14866,0.0,8.56,0,5.2,67.27000000000001,79.9,2.7778,5,38.4,20.9,39.476,9.42,27.5
102,0.11432,0.0,8.56,0,5.2,67.81,71.3,2.8561,5,38.4,20.9,39.558,7.67,26.5
103,0.22876,0.0,8.56,0,5.2,64.05,85.4,2.7147,5,38.4,20.9,7.08,10.63,18.6
104,0.21161,0.0,8.56,0,5.2,61.370000000000005,87.4,2.7147,5,38.4,20.9,39.447,13.44,19.3
107,0.1712,0.0,8.56,0,5.2,58.36,91.9,2.211,5,38.4,20.9,39.567,18.66,19.5
108,0.13117,0.0,8.56,0,5.2,61.27000000000001,85.2,2.1224,5,38.4,20.9,38.769,14.09,20.4
109,0.12802,0.0,8.56,0,5.2,64.74000000000001,97.1,2.4329,5,38.4,20.9,39.524,12.27,19.8
110,0.26363000000000003,0.0,8.56,0,5.2,62.29,91.2,2.5451,5,38.4,20.9,39.123000000000005,15.55,19.4
112,0.10084,0.0,10.01,0,5.470000000000001,67.15,81.6,2.6775,6,43.2,17.8,39.559,10.16,22.8
115,0.14231,0.0,10.01,0,5.470000000000001,62.53999999999999,84.2,2.2565,6,43.2,17.8,38.874,10.45,18.5
117,0.13158,0.0,10.01,0,5.470000000000001,61.760000000000005,72.5,2.7301,6,43.2,17.8,39.33,12.04,21.2
118,0.15098,0.0,10.01,0,5.470000000000001,60.21,82.6,2.7474,6,43.2,17.8,39.451,10.3,19.2
119,0.13058,0.0,10.01,0,5.470000000000001,58.720000000000006,73.1,2.4775,6,43.2,17.8,33.863,15.37,20.4
120,0.14476,0.0,10.01,0,5.470000000000001,57.31,65.2,2.7592,6,43.2,17.8,39.15,13.61,19.3
121,0.06899,0.0,25.65,0,5.81,58.7,69.7,2.2577,2,18.8,19.1,38.915,14.37,22.0
122,0.07165,0.0,25.65,0,5.81,60.03999999999999,84.1,2.1974,2,18.8,19.1,37.767,14.27,20.3
123,0.09299,0.0,25.65,0,5.81,59.61,92.9,2.0869,2,18.8,19.1,37.809,17.93,20.5
124,0.15037999999999999,0.0,25.65,0,5.81,58.56,97.0,1.9444,2,18.8,19.1,37.031,25.41,17.3
125,0.09849,0.0,25.65,0,5.81,58.78999999999999,95.8,2.0063,2,18.8,19.1,37.938,17.58,18.8
127,0.38735,0.0,25.65,0,5.81,56.129999999999995,95.6,1.7572,2,18.8,19.1,35.929,27.26,15.7
128,0.25915,0.0,21.89,0,6.24,56.92999999999999,96.0,1.7883,4,43.7,21.2,39.211,17.19,16.2
129,0.32543,0.0,21.89,0,6.24,64.31,98.8,1.8125,4,43.7,21.2,39.69,15.39,18.0
132,1.19294,0.0,21.89,0,6.24,63.260000000000005,97.7,2.271,4,43.7,21.2,39.69,12.26,19.6
134,0.32982,0.0,21.89,0,6.24,58.22,95.4,2.4699,4,43.7,21.2,38.869,15.03,18.4
135,0.9761700000000001,0.0,21.89,0,6.24,57.57000000000001,98.4,2.346,4,43.7,21.2,26.276,17.31,15.6
137,0.32264,0.0,21.89,0,6.24,59.42,93.5,1.9669,4,43.7,21.2,37.825,16.9,17.4
138,0.35233000000000003,0.0,21.89,0,6.24,64.53999999999999,98.4,1.8498,4,43.7,21.2,39.408,14.59,17.1
139,0.2498,0.0,21.89,0,6.24,58.57,98.2,1.6686,4,43.7,21.2,39.204,21.32,13.3
140,0.54452,0.0,21.89,0,6.24,61.51,97.9,1.6687,4,43.7,21.2,39.69,18.46,17.8
142,1.6286399999999999,0.0,21.89,0,6.24,50.19,100.0,1.4394,4,43.7,21.2,39.69,34.41,14.4
143,3.32105,0.0,19.58,10,8.71,54.029999999999994,100.0,1.3216,5,40.3,14.7,39.69,26.82,13.4
146,2.37934,0.0,19.58,0,8.71,61.3,100.0,1.4191,5,40.3,14.7,17.291,27.8,13.8
148,2.36862,0.0,19.58,0,8.71,49.260000000000005,95.7,1.4608,5,40.3,14.7,39.171,29.53,14.6
149,2.3309900000000003,0.0,19.58,0,8.71,51.86,93.8,1.5296,5,40.3,14.7,35.699,28.32,17.8
150,2.7339700000000002,0.0,19.58,0,8.71,55.970000000000006,94.9,1.5257,5,40.3,14.7,35.185,21.45,15.4
151,1.6566,0.0,19.58,0,8.71,61.220000000000006,97.3,1.618,5,40.3,14.7,37.28,14.1,21.5
154,2.14918,0.0,19.58,0,8.71,57.089999999999996,98.5,1.6232,5,40.3,14.7,26.195,15.79,19.4
155,1.41385,0.0,19.58,10,8.71,61.28999999999999,96.0,1.7494,5,40.3,14.7,32.102,15.12,17.0
157,2.4466799999999997,0.0,19.58,0,8.71,52.72,94.0,1.7364,5,40.3,14.7,8.863,16.14,13.1
159,1.34284,0.0,19.58,0,6.05,60.66,100.0,1.7573,5,40.3,14.7,35.388999999999996,6.43,24.3
160,1.4250200000000002,0.0,19.58,0,8.71,65.1,100.0,1.7659,5,40.3,14.7,36.431,7.39,23.3
161,1.27346,0.0,19.58,10,6.05,62.5,92.6,1.7984,5,40.3,14.7,33.892,5.5,27.0
162,1.46336,0.0,19.58,0,6.05,74.89,90.8,1.9709,5,40.3,14.7,37.443,1.73,50.0
164,1.51902,0.0,19.58,10,6.05,83.75,93.9,2.162,5,40.3,14.7,38.845,3.32,50.0
165,2.2423599999999997,0.0,19.58,0,6.05,58.54,91.8,2.4219999999999997,5,40.3,14.7,39.511,11.64,22.7
166,2.924,0.0,19.58,0,6.05,61.01,93.0,2.2834,5,40.3,14.7,24.016,9.81,25.0
167,2.01019,0.0,19.58,0,6.05,79.28999999999999,96.2,2.0459,5,40.3,14.7,36.93,3.7,50.0
168,1.8002799999999999,0.0,19.58,0,6.05,58.77000000000001,79.2,2.4259,5,40.3,14.7,22.761000000000003,12.14,23.8
170,2.4495299999999998,0.0,19.58,0,6.05,64.02,95.2,2.2625,5,40.3,14.7,33.004000000000005,11.32,22.3
171,1.2074200000000002,0.0,19.58,0,6.05,58.75,94.6,2.4259,5,40.3,14.7,29.229000000000003,14.43,17.4
172,2.3139,0.0,19.58,0,6.05,58.8,97.3,2.3887,5,40.3,14.7,34.813,12.03,19.1
173,0.13914,0.0,4.05,0,5.1,55.72,88.5,2.5961,5,29.6,16.6,39.69,14.69,23.1
174,0.09178,0.0,4.05,0,5.1,64.16,84.1,2.6463,5,29.6,16.6,39.55,9.04,23.6
175,0.08447,0.0,4.05,0,5.1,58.59,68.7,2.7019,5,29.6,16.6,39.323,9.64,22.6
176,0.06663999999999999,0.0,4.05,0,5.1,65.46000000000001,33.1,3.1323,5,29.6,16.6,39.096,5.33,29.4
177,0.07022,0.0,4.05,0,5.1,60.199999999999996,47.2,3.5549,5,29.6,16.6,39.323,10.11,23.2
178,0.05425,0.0,4.05,0,5.1,63.150000000000006,73.4,3.3175,5,29.6,16.6,39.56,6.29,24.6
179,0.06642,0.0,4.05,0,5.1,68.60000000000001,74.4,2.9153,5,29.6,16.6,39.126999999999995,6.92,29.9
180,0.0578,0.0,2.46,0,4.88,69.80000000000001,58.4,2.8289999999999997,3,19.3,17.8,39.69,5.04,37.2
181,0.06588,0.0,2.46,0,4.88,77.64999999999999,83.3,2.741,3,19.3,17.8,39.556,7.56,39.8
182,0.06888,0.0,2.46,0,4.88,61.44,62.2,2.5979,3,19.3,17.8,39.69,9.45,36.2
183,0.09103,0.0,2.46,0,4.88,71.55,92.2,2.7006,3,19.3,17.8,39.412,4.82,37.9
184,0.10008,0.0,2.46,0,4.88,65.63,95.6,2.847,3,19.3,17.8,39.69,5.68,32.5
187,0.05602000000000001,0.0,2.46,0,4.88,78.31,53.6,3.1992,3,19.3,17.8,39.263,4.45,50.0
188,0.07875,45.0,3.44,0,4.370000000000001,67.82,41.1,3.7886,5,39.8,15.2,39.387,6.68,32.0
190,0.0837,45.0,3.44,0,4.370000000000001,71.85,38.9,4.5667,5,39.8,15.2,39.69,5.39,34.9
191,0.09068,45.0,3.44,0,4.370000000000001,69.51,21.5,6.4798,5,39.8,15.2,37.768,5.1,37.0
192,0.06911,45.0,3.44,0,4.370000000000001,67.39,30.8,6.4798,5,39.8,15.2,38.971,4.69,30.5
193,0.08664,45.0,3.44,0,4.370000000000001,71.78,26.3,6.4798,5,39.8,15.2,39.049,2.87,36.4
194,0.02187,60.0,2.93,0,4.01,68.0,9.9,6.2196,1,26.5,15.6,39.337,5.03,31.1
195,0.01439,60.0,2.93,0,4.01,66.04,18.8,6.2196,1,26.5,15.6,37.67,4.38,29.1
198,0.04666,80.0,1.52,0,4.04,71.07000000000001,36.6,7.309,2,32.9,12.6,35.431,8.61,30.3
201,0.01778,95.0,1.47,0,4.029999999999999,71.35,13.9,7.6534,3,40.2,17.0,38.43,4.45,32.9
202,0.03445,82.5,2.03,0,4.1499999999999995,61.620000000000005,38.4,6.27,2,34.8,14.7,39.376999999999995,7.43,24.1
204,0.0351,95.0,2.68,0,4.1610000000000005,78.53,33.2,5.118,4,22.4,14.7,39.278,3.81,48.5
205,0.02009,95.0,2.68,0,4.1610000000000005,80.33999999999999,31.9,5.118,4,22.4,14.7,39.055,2.88,50.0
206,0.13642,0.0,10.59,0,4.89,58.91,22.3,3.9454,4,27.7,18.6,39.69,10.87,22.6
207,0.22969,0.0,10.59,0,4.89,63.260000000000005,52.5,4.3549,4,27.7,18.6,39.487,10.97,24.4
209,0.13587,0.0,10.59,10,4.89,60.64,59.1,4.2392,4,27.7,18.6,38.132,14.66,24.4
212,0.37578,0.0,10.59,10,4.89,54.04,88.6,3.665,4,27.7,18.6,39.524,23.98,19.3
214,0.14052,0.0,10.59,0,4.89,63.75,32.3,3.9454,4,27.7,18.6,38.581,9.38,28.1
215,0.28955,0.0,10.59,0,4.89,54.120000000000005,9.8,3.5875,4,27.7,18.6,34.893,29.55,23.7
217,0.0456,0.0,13.89,10,5.5,58.879999999999995,56.0,3.1121,5,27.6,16.4,39.28,13.51,23.3
222,0.40771,0.0,6.2,10,5.07,61.64,91.3,3.048,8,30.7,17.4,39.524,21.46,21.7
223,0.62356,0.0,6.2,10,5.07,68.78999999999999,77.7,3.2721,8,30.7,17.4,39.039,9.93,27.5
224,0.6147,0.0,6.2,0,5.07,66.17999999999999,80.8,3.2721,8,30.7,17.4,39.69,7.6,30.1
225,0.31533,0.0,6.2,0,5.04,82.66,78.3,2.8944,8,30.7,17.4,38.505,4.14,44.8
226,0.52693,0.0,6.2,0,5.04,87.25,83.0,2.8944,8,30.7,17.4,38.2,4.63,50.0
227,0.38214000000000004,0.0,6.2,0,5.04,80.39999999999999,86.5,3.2157,8,30.7,17.4,38.738,3.13,37.6
228,0.41238,0.0,6.2,0,5.04,71.63,79.9,3.2157,8,30.7,17.4,37.208,6.36,31.6
230,0.44178,0.0,6.2,0,5.04,65.52000000000001,21.4,3.3751,8,30.7,17.4,38.034,3.76,31.5
231,0.537,0.0,6.2,0,5.04,59.81,68.1,3.6715,8,30.7,17.4,37.835,11.65,24.3
233,0.57529,0.0,6.2,0,5.07,83.37,73.3,3.8384,8,30.7,17.4,38.591,2.47,41.7
234,0.33147,0.0,6.2,0,5.07,82.47,70.4,3.6519,8,30.7,17.4,37.894999999999996,3.95,48.3
235,0.44791000000000003,0.0,6.2,10,5.07,67.26,66.5,3.6519,8,30.7,17.4,36.019999999999996,8.05,29.0
236,0.33045,0.0,6.2,0,5.07,60.86,61.5,3.6519,8,30.7,17.4,37.675,10.88,24.0
237,0.52058,0.0,6.2,10,5.07,66.31,76.5,4.148,8,30.7,17.4,38.845,9.54,25.1
241,0.11329000000000002,30.0,4.93,0,4.28,68.97,54.3,6.3361,6,30.0,16.6,39.125,11.38,22.0
243,0.1029,30.0,4.93,0,4.28,63.58,52.9,7.0355,6,30.0,16.6,37.275,11.22,22.2
244,0.12757000000000002,30.0,4.93,0,4.28,63.93,7.8,7.0355,6,30.0,16.6,37.471,5.19,23.7
245,0.20608,22.0,5.86,0,4.31,55.93,76.5,7.9549,7,33.0,19.1,37.249,12.5,17.6
247,0.33983,22.0,5.86,0,4.31,61.08,34.9,8.0555,7,33.0,19.1,39.018,9.16,24.3
249,0.16439,22.0,5.86,0,4.31,64.33,49.1,7.8265,7,33.0,19.1,37.471,9.52,24.5
250,0.19072999999999998,22.0,5.86,0,4.31,67.18,17.5,7.8265,7,33.0,19.1,39.374,6.56,26.2
251,0.1403,22.0,5.86,0,4.31,64.87,13.0,7.3967,7,33.0,19.1,39.628,5.9,24.4
252,0.21409,22.0,5.86,0,4.31,64.38,8.9,7.3967,7,33.0,19.1,37.707,3.59,24.8
254,0.36894,22.0,5.86,0,4.31,82.59,8.4,8.9067,7,33.0,19.1,39.69,3.54,42.8
261,0.5401100000000001,20.0,3.97,0,6.470000000000001,72.03,81.8,2.1121,5,26.4,13.0,39.28,9.59,33.8
262,0.5341199999999999,20.0,3.97,0,6.470000000000001,75.19999999999999,89.4,2.1398,5,26.4,13.0,38.837,7.26,43.1
263,0.5201399999999999,20.0,3.97,0,6.470000000000001,83.97999999999999,91.5,2.2885,5,26.4,13.0,38.686,5.91,48.8
264,0.82526,20.0,3.97,0,6.470000000000001,73.27000000000001,94.5,2.0788,5,26.4,13.0,39.342,11.25,31.0
265,0.55007,20.0,3.97,0,6.470000000000001,72.06,91.6,1.9301,5,26.4,13.0,38.789,8.1,36.5
266,0.76162,20.0,3.97,0,6.470000000000001,55.599999999999994,62.8,1.9865,5,26.4,13.0,39.239999999999995,10.45,22.8
267,0.7857,20.0,3.97,0,6.470000000000001,70.13999999999999,84.6,2.1329,5,26.4,13.0,38.407,14.79,30.7
269,0.5405,20.0,3.97,0,5.75,74.7,52.6,2.872,5,26.4,13.0,39.03,3.16,43.5
272,0.16211,20.0,6.96,0,4.64,62.400000000000006,16.3,4.428999999999999,3,22.3,18.6,39.69,6.59,25.2
273,0.1146,20.0,6.96,0,4.64,65.38,58.7,3.9175,3,22.3,18.6,39.495999999999995,7.73,24.4
274,0.22188000000000002,20.0,6.96,10,4.64,76.91,51.8,4.3665,3,22.3,18.6,39.077,6.58,35.2
275,0.05644,40.0,6.41,10,4.47,67.57999999999998,32.9,4.0776,4,25.4,17.6,39.69,3.53,32.4
280,0.21038,20.0,3.33,0,4.429,68.12,32.2,4.1007,5,21.6,14.9,39.69,4.85,35.1
282,0.03705,20.0,3.33,0,4.429,69.68,37.2,5.2447,5,21.6,14.9,39.223,4.59,35.4
283,0.06129,20.0,3.33,10,4.429,76.44999999999999,49.7,5.2119,5,21.6,14.9,37.707,3.01,46.0
284,0.015009999999999999,90.0,1.21,10,4.01,79.22999999999999,24.8,5.885,1,19.8,13.6,39.552,3.16,50.0
285,0.009059999999999999,90.0,2.97,0,4.0,70.88,20.8,7.3073,1,28.5,15.3,39.472,7.85,32.2
286,0.01096,55.0,2.25,0,3.89,64.53,31.9,7.3073,1,30.0,15.3,39.472,8.23,22.0
287,0.01965,80.0,1.76,0,3.85,62.300000000000004,31.5,9.0892,1,24.1,18.2,34.160000000000004,12.93,20.1
289,0.0459,52.5,5.32,0,4.050000000000001,63.150000000000006,45.6,7.3172,6,29.3,16.6,39.69,7.6,22.3
291,0.035019999999999996,80.0,4.95,0,4.11,68.61000000000001,27.9,5.1167,4,24.5,19.2,39.69,3.33,28.5
293,0.03615,80.0,4.95,0,4.11,66.3,23.4,5.1167,4,24.5,19.2,39.69,4.7,27.9
294,0.08265,0.0,13.92,0,4.370000000000001,61.27000000000001,18.4,5.5027,4,28.9,16.0,39.69,8.58,23.9
297,0.053720000000000004,0.0,13.92,0,4.370000000000001,65.49,51.0,5.9604,4,28.9,16.0,39.285000000000004,7.39,27.1
298,0.14103,0.0,13.92,0,4.370000000000001,57.9,58.0,6.32,4,28.9,16.0,39.69,15.84,20.3
302,0.03537,34.0,6.09,0,4.33,65.9,40.4,5.4917,7,32.9,16.1,39.575,9.5,22.0
303,0.09266,34.0,6.09,0,4.33,64.95,18.4,5.4917,7,32.9,16.1,38.361000000000004,8.67,26.4
304,0.1,34.0,6.09,0,4.33,69.82000000000001,17.7,5.4917,7,32.9,16.1,39.043,4.86,33.1
305,0.05515,33.0,2.18,0,4.720000000000001,72.36000000000001,41.1,4.022,7,22.2,18.4,39.368,6.93,36.1
306,0.05479,33.0,2.18,0,4.720000000000001,66.16000000000001,58.1,3.37,7,22.2,18.4,39.336,8.93,28.4
307,0.07503,33.0,2.18,0,4.720000000000001,74.2,71.9,3.0992,7,22.2,18.4,39.69,6.47,33.4
309,0.49298000000000003,0.0,9.9,0,5.44,66.35,82.5,3.3175,4,30.4,18.4,39.69,4.54,22.8
310,0.3494,0.0,9.9,0,5.44,59.720000000000006,76.7,3.1025,4,30.4,18.4,39.624,9.97,20.3
311,2.63548,0.0,9.9,0,5.44,49.73,37.8,2.5194,4,30.4,18.4,35.045,12.64,16.1
312,0.7904100000000001,0.0,9.9,0,5.44,61.220000000000006,52.8,2.6403,4,30.4,18.4,39.69,5.98,22.1
313,0.26169000000000003,0.0,9.9,0,5.44,60.23,90.4,2.8339999999999996,4,30.4,18.4,39.63,11.72,19.4
316,0.25356,0.0,9.9,0,5.44,57.05,77.7,3.945,4,30.4,18.4,39.642,11.5,16.2
317,0.31827,0.0,9.9,0,5.44,59.14,83.2,3.9986,4,30.4,18.4,39.07,18.33,17.8
318,0.24522,0.0,9.9,0,5.44,57.82,71.7,4.0317,4,30.4,18.4,39.69,15.94,19.8
319,0.40202,0.0,9.9,0,5.44,63.82000000000001,67.2,3.5325,4,30.4,18.4,39.521,10.36,23.1
321,0.1676,0.0,7.38,0,4.93,64.26,52.3,4.5404,5,28.7,19.6,39.69,7.2,23.8
325,0.34109,0.0,7.38,0,4.93,64.15,40.1,4.7211,5,28.7,19.6,39.69,6.12,25.0
326,0.19186,0.0,7.38,0,4.93,64.31,14.7,5.4159,5,28.7,19.6,39.368,5.08,24.6
328,0.24103000000000002,0.0,7.38,0,4.93,60.82999999999999,43.7,5.4159,5,28.7,19.6,39.69,12.79,22.2
329,0.06617,0.0,3.24,0,4.6000000000000005,58.67999999999999,25.8,5.2146,4,43.0,16.9,38.244,9.97,19.3
331,0.045439999999999994,0.0,3.24,0,4.6000000000000005,61.44,32.2,5.8736,4,43.0,16.9,36.857,9.09,19.8
334,0.05083,0.0,5.19,0,5.15,63.16,38.1,6.4584,5,22.4,20.2,38.971,5.68,22.2
335,0.037380000000000004,0.0,5.19,0,5.15,63.099999999999994,38.5,6.4584,5,22.4,20.2,38.94,6.75,20.7
337,0.03427,0.0,5.19,0,5.15,58.69,46.3,5.2311,5,22.4,20.2,39.69,9.8,19.5
339,0.03306,0.0,5.19,0,5.15,60.59,37.3,4.8122,5,22.4,20.2,39.614,8.51,20.6
340,0.054970000000000005,0.0,5.19,0,5.15,59.85,45.4,4.8122,5,22.4,20.2,39.69,9.74,19.0
341,0.06151,0.0,5.19,0,5.15,59.68,58.5,4.8122,5,22.4,20.2,39.69,9.29,18.7
342,0.013009999999999999,35.0,1.52,0,4.42,72.41000000000001,49.3,7.0379,1,28.4,15.5,39.474000000000004,5.49,32.7
343,0.024980000000000002,0.0,1.89,0,5.18,65.4,59.7,6.2669,1,42.2,15.9,38.995999999999995,8.65,16.5
344,0.02543,55.0,3.78,0,4.84,66.96000000000001,56.4,5.7321,5,37.0,17.6,39.69,7.18,23.9
345,0.030489999999999996,55.0,3.78,0,4.84,68.74,28.1,6.4654,5,37.0,17.6,38.797000000000004,4.61,31.2
